yearterm,serial,dept,grade,required,name,note,teacher,category,credit,hours,language,schedule,addable,add_limit,total_limit,enrolled,syllabus_url,limit_url,limits_json,edu_type,crawl_time
1141,U1006,體育,體育1,必,體育：校隊(女籃) / Physical Education: School Team(Basketball),"Physical Education: School Team(Female Basketball)限一~四年級各運動代表隊；上課地點：另由體育室公告。
須獲本校女籃校隊(公開組)教練同意，始得選修本課程。(Permission from the coach is required to enroll in this course)",張維仁,半,0.0,0,中文,每週; 未維護0,是,8,42,4,,https://sea.cc.ntpu.edu.tw/pls/faculty/common.OPMS_lm.bylimit_checkshow?yearterm=1141&serial=U1006,"{""學制"": ""學士班,碩士班,博士班,進修學士班,碩士在職專班,"", ""學號"": ""單號,雙號,"", ""性別"": ""男生,女生,"", ""身份"": ""一般生,在職生,外籍生,僑生,輔系生,雙主修生,多元培力生,"", ""系所"": ""智慧永續,"", ""年級"": ""1,""}",學士班,2025-11-05 00:38:39
1141,U1013,體育,體育1,必,體育：校隊(女網) / Physical Education: School Team(Tennis),Physical Education: School Team(Female Tennis)限一~四年級各運動代表隊；上課地點：另由體育室公告。須獲教練同意，始得選修本課程。(Permission from the coach is required to enroll in this course),陳建瑋,半,0.0,0,中文,每週; 未維護0,是,8,42,9,,https://sea.cc.ntpu.edu.tw/pls/faculty/common.OPMS_lm.bylimit_checkshow?yearterm=1141&serial=U1013,"{""學制"": ""學士班,碩士班,博士班,進修學士班,碩士在職專班,"", ""學號"": ""單號,雙號,"", ""性別"": ""男生,女生,"", ""身份"": ""一般生,在職生,外籍生,僑生,輔系生,雙主修生,多元培力生,"", ""系所"": ""智慧永續,"", ""年級"": ""1,""}",學士班,2025-11-05 00:38:39
1141,U1020,體育,體育1,必,體育：校隊(男桌) / Physical Education: School Team(Table Tennis),Physical Education: School Team(Male Table Tennis)限一~四年級各運動代表隊；上課地點：另由體育室公告。須獲教練同意，始得選修本課程。(Permission from the coach is required to enroll in this course),陳秋丹,半,0.0,0,中文,每週; 未維護0,是,8,42,7,,https://sea.cc.ntpu.edu.tw/pls/faculty/common.OPMS_lm.bylimit_checkshow?yearterm=1141&serial=U1020,"{""學制"": ""學士班,碩士班,博士班,進修學士班,碩士在職專班,"", ""學號"": ""單號,雙號,"", ""性別"": ""男生,女生,"", ""身份"": ""一般生,在職生,外籍生,僑生,輔系生,雙主修生,多元培力生,"", ""系所"": ""智慧永續,"", ""年級"": ""1,""}",學士班,2025-11-05 00:38:39
1141,U1027,體育,體育1,必,體育：校隊(男排) / Physical Education: School Team(Volleyball),Physical Education: School Team(Male Volleyball)限一~四年級各運動代表隊；上課地點：另由體育室公告。須獲教練同意，始得選修本課程。(Permission from the coach is required to enroll in this course),翁仲邦,半,0.0,0,中文,每週; 未維護0,是,8,42,8,,https://sea.cc.ntpu.edu.tw/pls/faculty/common.OPMS_lm.bylimit_checkshow?yearterm=1141&serial=U1027,"{""學制"": ""學士班,碩士班,博士班,進修學士班,碩士在職專班,"", ""學號"": ""單號,雙號,"", ""性別"": ""男生,女生,"", ""身份"": ""一般生,在職生,外籍生,僑生,輔系生,雙主修生,多元培力生,"", ""系所"": ""智慧永續,"", ""年級"": ""1,""}",學士班,2025-11-05 00:38:39
1141,U1032,體育,體育1,必,體育：校隊(女排) / Physical Education: School Team(Volleyball),Physical Education: School Team(Female Volleyball)限一~四年級各運動代表隊；上課地點：另由體育室公告。須獲教練同意，始得選修本課程。(Permission from the coach is required to enroll in this course),翁仲邦,半,0.0,0,中文,每週; 未維護0,是,8,42,15,,https://sea.cc.ntpu.edu.tw/pls/faculty/common.OPMS_lm.bylimit_checkshow?yearterm=1141&serial=U1032,"{""學制"": ""學士班,碩士班,博士班,進修學士班,碩士在職專班,"", ""學號"": ""單號,雙號,"", ""性別"": ""男生,女生,"", ""身份"": ""一般生,在職生,外籍生,僑生,輔系生,雙主修生,多元培力生,"", ""系所"": ""智慧永續,"", ""年級"": ""1,""}",學士班,2025-11-05 00:38:39
1141,U1039,體育,體育1,必,體育：校隊(女羽) / Physical Education: School Team(Badminton),Physical Education: School Team(Female Badminton)限一~四年級各運動代表隊；上課地點：另由體育室公告。須獲教練同意，始得選修本課程。(Permission from the coach is required to enroll in this course),王彥邦,半,0.0,0,中文,每週; 未維護0,是,8,42,4,,https://sea.cc.ntpu.edu.tw/pls/faculty/common.OPMS_lm.bylimit_checkshow?yearterm=1141&serial=U1039,"{""學制"": ""學士班,碩士班,博士班,進修學士班,碩士在職專班,"", ""學號"": ""單號,雙號,"", ""性別"": ""男生,女生,"", ""身份"": ""一般生,在職生,外籍生,僑生,輔系生,雙主修生,多元培力生,"", ""系所"": ""智慧永續,"", ""年級"": ""1,""}",學士班,2025-11-05 00:38:39
1141,U1041,體育,體育1,必,體育：校隊(男網) / Physical Education: School Team(Tennis),Physical Education: School Team(Male Tennis)限一~四年級各運動代表隊；上課地點：另由體育室公告。須獲教練同意，始得選修本課程。(Permission from the coach is required to enroll in this course),陳建瑋,半,0.0,0,中文,每週; 未維護0,是,8,42,13,,https://sea.cc.ntpu.edu.tw/pls/faculty/common.OPMS_lm.bylimit_checkshow?yearterm=1141&serial=U1041,"{""學制"": ""學士班,碩士班,博士班,進修學士班,碩士在職專班,"", ""學號"": ""單號,雙號,"", ""性別"": ""男生,女生,"", ""身份"": ""一般生,在職生,外籍生,僑生,輔系生,雙主修生,多元培力生,"", ""系所"": ""智慧永續,"", ""年級"": ""1,""}",學士班,2025-11-05 00:38:39
1141,U1049,體育,體育1,必,體育：校隊(女桌) / Physical Education: School Team(Table Tennis),Physical Education: School Team(Female Table Tennis)限一~四年級各運動代表隊；上課地點：另由體育室公告。須獲教練同意，始得選修本課程。(Permission from the coach is required to enroll in this course),陳秋丹,半,0.0,0,中文,每週; 未維護0,是,8,42,2,,https://sea.cc.ntpu.edu.tw/pls/faculty/common.OPMS_lm.bylimit_checkshow?yearterm=1141&serial=U1049,"{""學制"": ""學士班,碩士班,博士班,進修學士班,碩士在職專班,"", ""學號"": ""單號,雙號,"", ""性別"": ""男生,女生,"", ""身份"": ""一般生,在職生,外籍生,僑生,輔系生,雙主修生,多元培力生,"", ""系所"": ""智慧永續,"", ""年級"": ""1,""}",學士班,2025-11-05 00:38:39
1141,U1053,體育,體育1,必,體育：校隊(足球) / Physical Education: School Team(Soccer),限一~四年級各運動代表隊；上課地點：另由體育室公告。須獲教練同意，始得選修本課程。(Permission from the coach is required to enroll in this course),林啟賢,半,0.0,0,中文,每週; 未維護0,是,8,42,16,,https://sea.cc.ntpu.edu.tw/pls/faculty/common.OPMS_lm.bylimit_checkshow?yearterm=1141&serial=U1053,"{""學制"": ""學士班,碩士班,博士班,進修學士班,碩士在職專班,"", ""學號"": ""單號,雙號,"", ""性別"": ""男生,女生,"", ""身份"": ""一般生,在職生,外籍生,僑生,輔系生,雙主修生,多元培力生,"", ""系所"": ""智慧永續,"", ""年級"": ""1,""}",學士班,2025-11-05 00:38:39
1141,U1060,體育,體育1,必,體育：校隊(游泳) / Physical Education: School Team(Swimming),限一~四年級各運動代表隊；上課地點：另由體育室公告。須獲教練同意，始得選修本課程。(Permission from the coach is required to enroll in this course),李至斌,半,0.0,0,中文,每週; 未維護0,是,7,36,9,,https://sea.cc.ntpu.edu.tw/pls/faculty/common.OPMS_lm.bylimit_checkshow?yearterm=1141&serial=U1060,"{""學制"": ""學士班,碩士班,博士班,進修學士班,碩士在職專班,"", ""學號"": ""單號,雙號,"", ""性別"": ""男生,女生,"", ""身份"": ""一般生,在職生,外籍生,僑生,輔系生,雙主修生,多元培力生,"", ""系所"": ""智慧永續,"", ""年級"": ""1,""}",學士班,2025-11-05 00:38:39
